Date : 2023-05-13 09:50:15
Directory : c:\xampp\htdocs\charity
Total : 1989 files,  545970 codes, 77220 comments, 88068 blanks, all 711258 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\cmake\cmake.js                                  | JavaScript   |         80 |         10 |          8 |         98 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\cobol\cobol.js                                  | JavaScript   |        240 |         10 |          6 |        256 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\coffeescript\coffeescript.js                    | JavaScript   |        291 |         25 |         44 |        360 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\commonlisp\commonlisp.js                        | JavaScript   |        108 |          2 |         15 |        125 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\crystal\crystal.js                              | JavaScript   |        347 |         20 |         67 |        434 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\css\css.js                                      | JavaScript   |        798 |          8 |         59 |        865 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\cypher\cypher.js                                | JavaScript   |        140 |          4 |          8 |        152 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\d\d.js                                          | JavaScript   |        202 |          3 |         19 |        224 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\dart\dart.js                                    | JavaScript   |        142 |          8 |         17 |        167 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\diff\diff.js                                    | JavaScript   |         35 |          2 |         11 |         48 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\django\django.js                                | JavaScript   |        266 |         45 |         46 |        357 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\dockerfile\dockerfile.js                        | JavaScript   |        193 |         10 |          9 |        212 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\dtd\dtd.js                                      | JavaScript   |        116 |          9 |         18 |        143 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\dylan\dylan.js                                  | JavaScript   |        276 |         44 |         33 |        353 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\ebnf\ebnf.js                                    | JavaScript   |        171 |          9 |         16 |        196 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\ecl\ecl.js                                      | JavaScript   |        184 |          3 |         20 |        207 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\eiffel\eiffel.js                                | JavaScript   |        105 |         52 |          4 |        161 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\elm\elm.js                                      | JavaScript   |        215 |          2 |         27 |        244 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\erlang\erlang.js                                | JavaScript   |        471 |         63 |         86 |        620 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\factor\factor.js                                | JavaScript   |         58 |         23 |          5 |         86 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\fcl\fcl.js                                      | JavaScript   |        143 |          3 |         28 |        174 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\forth\forth.js                                  | JavaScript   |        155 |         12 |         14 |        181 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\fortran\fortran.js                              | JavaScript   |        171 |          3 |         15 |        189 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\gas\gas.js                                      | JavaScript   |        288 |         17 |         41 |        346 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\gfm\gfm.js                                      | JavaScript   |        107 |         15 |          8 |        130 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\gherkin\gherkin.js                              | JavaScript   |        124 |         30 |         25 |        179 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\go\go.js                                        | JavaScript   |        166 |          3 |         19 |        188 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\groovy\groovy.js                                | JavaScript   |        212 |          5 |         17 |        234 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\haml\haml.js                                    | JavaScript   |        133 |         13 |         16 |        162 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\handlebars\handlebars.js                        | JavaScript   |         52 |          8 |         11 |         71 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\haskell-literate\haskell-literate.js            | JavaScript   |         37 |          2 |          5 |         44 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\haskell\haskell.js                              | JavaScript   |        231 |          3 |         35 |        269 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\haxe\haxe.js                                    | JavaScript   |        450 |         13 |         53 |        516 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\htmlembedded\htmlembedded.js                    | JavaScript   |         32 |          2 |          4 |         38 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\htmlmixed\htmlmixed.js                          | JavaScript   |        134 |          2 |         18 |        154 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\http\http.js                                    | JavaScript   |         96 |          2 |         16 |        114 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\idl\idl.js                                      | JavaScript   |        266 |          8 |         17 |        291 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\javascript\javascript.js                        | JavaScript   |        875 |         22 |         46 |        943 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\jinja2\jinja2.js                                | JavaScript   |        129 |          8 |         10 |        147 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\jsx\jsx.js                                      | JavaScript   |         65 |         73 |         11 |        149 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\julia\julia.js                                  | JavaScript   |        346 |         23 |         58 |        427 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\livescript\livescript.js                        | JavaScript   |        268 |          6 |          7 |        281 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\lua\lua.js                                      | JavaScript   |        128 |          6 |         26 |        160 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\markdown\markdown.js                            | JavaScript   |        730 |         46 |        111 |        887 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\mathematica\mathematica.js                      | JavaScript   |        118 |         30 |         29 |        177 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\mbox\mbox.js                                    | JavaScript   |        102 |         11 |         17 |        130 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\meta.js                                         | JavaScript   |        212 |          3 |          7 |        222 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\mirc\mirc.js                                    | JavaScript   |        186 |          3 |          5 |        194 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\mllike\mllike.js                                | JavaScript   |        326 |          9 |         25 |        360 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\modelica\modelica.js                            | JavaScript   |        190 |         14 |         42 |        246 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\mscgen\mscgen.js                                | JavaScript   |        143 |         13 |         20 |        176 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\mumps\mumps.js                                  | JavaScript   |        102 |         21 |         26 |        149 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\nginx\nginx.js                                  | JavaScript   |        150 |          3 |         26 |        179 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\nsis\nsis.js                                    | JavaScript   |         45 |         31 |         20 |         96 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\ntriples\ntriples.js                            | JavaScript   |        139 |         39 |         18 |        196 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\octave\octave.js                                | JavaScript   |        104 |          9 |         27 |        140 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\oz\oz.js                                        | JavaScript   |        191 |         19 |         43 |        253 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\pascal\pascal.js                                | JavaScript   |        120 |          3 |         14 |        137 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\pegjs\pegjs.js                                  | JavaScript   |        103 |          4 |          8 |        115 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\perl\perl.js                                    | JavaScript   |        800 |         22 |         16 |        838 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\php\php.js                                      | JavaScript   |        209 |          9 |         17 |        235 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\pig\pig.js                                      | JavaScript   |        136 |         24 |         19 |        179 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\powershell\powershell.js                        | JavaScript   |        343 |          9 |         47 |        399 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\properties\properties.js                        | JavaScript   |         62 |          3 |         14 |         79 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\protobuf\protobuf.js                            | JavaScript   |         51 |          8 |         14 |         73 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\pug\pug.js                                      | JavaScript   |        507 |         20 |         65 |        592 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\puppet\puppet.js                                | JavaScript   |        155 |         55 |         11 |        221 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\python\python.js                                | JavaScript   |        319 |         26 |         55 |        400 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\q\q.js                                          | JavaScript   |        133 |          3 |          4 |        140 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\r\r.js                                          | JavaScript   |        170 |          4 |         17 |        191 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\rpm\rpm.js                                      | JavaScript   |         86 |          6 |         18 |        110 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\rst\rst.js                                      | JavaScript   |        457 |         26 |         75 |        558 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\ruby\ruby.js                                    | JavaScript   |        118 |        176 |         10 |        304 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\rust\rust.js                                    | JavaScript   |         60 |          7 |          6 |         73 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\sas\sas.js                                      | JavaScript   |        221 |         52 |         31 |        304 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\sass\sass.js                                    | JavaScript   |        112 |        319 |         24 |        455 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\scheme\scheme.js                                | JavaScript   |        213 |         20 |         33 |        266 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\shell\shell.js                                  | JavaScript   |        147 |          4 |         18 |        169 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\sieve\sieve.js                                  | JavaScript   |        144 |         10 |         40 |        194 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\slim\slim.js                                    | JavaScript   |        527 |         10 |         39 |        576 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\smalltalk\smalltalk.js                          | JavaScript   |        128 |          2 |         39 |        169 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\smarty\smarty.js                                | JavaScript   |        200 |          7 |         19 |        226 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\solr\solr.js                                    | JavaScript   |         86 |          2 |         17 |        105 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\soy\soy.js                                      | JavaScript   |        518 |         70 |         50 |        638 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\sparql\sparql.js                                | JavaScript   |        171 |          2 |         18 |        191 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\spreadsheet\spreadsheet.js                      | JavaScript   |         96 |          7 |         10 |        113 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\sql\sql.js                                      | JavaScript   |        315 |        160 |         29 |        504 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\stex\stex.js                                    | JavaScript   |        221 |         16 |         28 |        265 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\stylus\stylus.js                                | JavaScript   |        609 |         98 |         69 |        776 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\swift\swift.js                                  | JavaScript   |         50 |        166 |          8 |        224 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\tcl\tcl.js                                      | JavaScript   |        133 |          3 |          5 |        141 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\textile\textile.js                              | JavaScript   |        400 |          2 |         68 |        470 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\tiddlywiki\tiddlywiki.css                       | CSS          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\tiddlywiki\tiddlywiki.js                        | JavaScript   |        230 |         35 |         44 |        309 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\tiki\tiki.css                                   | CSS          |         22 |          0 |          4 |         26 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\tiki\tiki.js                                    | JavaScript   |        274 |          9 |         30 |        313 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\toml\toml.js                                    | JavaScript   |         79 |          5 |          5 |         89 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\tornado\tornado.js                              | JavaScript   |         61 |          2 |          6 |         69 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\troff\troff.js                                  | JavaScript   |         72 |          2 |         11 |         85 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\ttcn-cfg\ttcn-cfg.js                            | JavaScript   |        197 |          4 |         13 |        214 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\ttcn\ttcn.js                                    | JavaScript   |        249 |          4 |         31 |        284 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\turtle\turtle.js                                | JavaScript   |        142 |          2 |         19 |        163 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\twig\twig.js                                    | JavaScript   |        124 |          8 |         10 |        142 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\vb\vb.js                                        | JavaScript   |        210 |         19 |         47 |        276 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\vbscript\vbscript.js                            | JavaScript   |        255 |         34 |         62 |        351 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\velocity\velocity.js                            | JavaScript   |        173 |         17 |         12 |        202 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\verilog\verilog.js                              | JavaScript   |        598 |        126 |         58 |        782 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\vhdl\vhdl.js                                    | JavaScript   |        168 |          4 |         18 |        190 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\vue\vue.js                                      | JavaScript   |         71 |          2 |          5 |         78 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\wast\wast.js                                    | JavaScript   |         31 |          4 |          7 |         42 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\webidl\webidl.js                                | JavaScript   |        153 |         16 |         27 |        196 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\xml\xml.js                                      | JavaScript   |        382 |          5 |         27 |        414 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\xquery\xquery.js                                | JavaScript   |        331 |         58 |         60 |        449 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\yacas\yacas.js                                  | JavaScript   |        150 |         19 |         36 |        205 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\yaml-frontmatter\yaml-frontmatter.js            | JavaScript   |         60 |          3 |          6 |         69 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\yaml\yaml.js                                    | JavaScript   |         92 |         16 |         13 |        121 |
| c:\xampp\htdocs\charity\plugins\codemirror\mode\z80\z80.js                                      | JavaScript   |         99 |          2 |         16 |        117 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\3024-day.css                                   | CSS          |         24 |          9 |          9 |         42 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\3024-night.css                                 | CSS          |         24 |          9 |          7 |         40 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\abcdef.css                                     | CSS          |         30 |          0 |          3 |         33 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\ambiance-mobile.css                            | CSS          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\ambiance.css                                   | CSS          |         58 |          3 |         14 |         75 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\ayu-dark.css                                   | CSS          |         35 |          1 |          7 |         43 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\ayu-mirage.css                                 | CSS          |         36 |          1 |          7 |         44 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\base16-dark.css                                | CSS          |         24 |          9 |          6 |         39 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\base16-light.css                               | CSS          |         24 |          9 |          6 |         39 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\bespin.css                                     | CSS          |         20 |          9 |          6 |         35 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\blackboard.css                                 | CSS          |         28 |          1 |          4 |         33 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\cobalt.css                                     | CSS          |         23 |          0 |          3 |         26 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\colorforth.css                                 | CSS          |         27 |          0 |          7 |         34 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\darcula.css                                    | CSS          |         43 |          4 |          7 |         54 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\dracula.css                                    | CSS          |         29 |          8 |          4 |         41 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\duotone-dark.css                               | CSS          |         19 |          9 |          8 |         36 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\duotone-light.css                              | CSS          |         18 |         10 |          9 |         37 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\eclipse.css                                    | CSS          |         22 |          0 |          2 |         24 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\elegant.css                                    | CSS          |         12 |          0 |          2 |         14 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\erlang-dark.css                                | CSS          |         32 |          0 |          3 |         35 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\gruvbox-dark.css                               | CSS          |         24 |          8 |          6 |         38 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\hopscotch.css                                  | CSS          |         20 |          9 |          6 |         35 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\icecoder.css                                   | CSS          |         30 |          3 |         11 |         44 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\idea.css                                       | CSS          |         32 |          4 |          6 |         42 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\isotope.css                                    | CSS          |         20 |          9 |          6 |         35 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\lesser-dark.css                                | CSS          |         39 |          4 |          5 |         48 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\liquibyte.css                                  | CSS          |         84 |          4 |          8 |         96 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\lucario.css                                    | CSS          |         29 |          6 |          3 |         38 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\material-darker.css                            | CSS          |        100 |          5 |         30 |        135 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\material-ocean.css                             | CSS          |        100 |          5 |         30 |        135 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\material-palenight.css                         | CSS          |        100 |          5 |         30 |        135 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\material.css                                   | CSS          |        100 |          5 |         30 |        135 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\mbo.css                                        | CSS          |         27 |          5 |          6 |         38 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\mdn-like.css                                   | CSS          |         31 |          9 |          7 |         47 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\midnight.css                                   | CSS          |         30 |          2 |          8 |         40 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\monokai.css                                    | CSS          |         34 |          1 |          7 |         42 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\moxer.css                                      | CSS          |        105 |          5 |         33 |        143 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\neat.css                                       | CSS          |         11 |          0 |          2 |         13 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\neo.css                                        | CSS          |         31 |          3 |         10 |         44 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\night.css                                      | CSS          |         23 |          1 |          4 |         28 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\nord.css                                       | CSS          |         34 |          2 |          7 |         43 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\oceanic-next.css                               | CSS          |         31 |          8 |          6 |         45 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\panda-syntax.css                               | CSS          |         75 |          5 |          6 |         86 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\paraiso-dark.css                               | CSS          |         24 |          9 |          6 |         39 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\paraiso-light.css                              | CSS          |         24 |          9 |          6 |         39 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\pastel-on-dark.css                             | CSS          |         42 |          8 |          3 |         53 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\railscasts.css                                 | CSS          |         20 |          9 |          6 |         35 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\rubyblue.css                                   | CSS          |         23 |          0 |          3 |         26 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\seti.css                                       | CSS          |         34 |          8 |          3 |         45 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\shadowfox.css                                  | CSS          |         35 |          8 |         10 |         53 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\solarized.css                                  | CSS          |        120 |         19 |         30 |        169 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\ssms.css                                       | CSS          |         15 |          0 |          2 |         17 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\the-matrix.css                                 | CSS          |         28 |          0 |          3 |         31 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\tomorrow-night-bright.css                      | CSS          |         22 |          8 |          6 |         36 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\tomorrow-night-eighties.css                    | CSS          |         24 |          9 |          6 |         39 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\ttcn.css                                       | CSS          |         56 |          3 |          6 |         65 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\twilight.css                                   | CSS          |         29 |          0 |          4 |         33 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\vibrant-ink.css                                | CSS          |         29 |          1 |          5 |         35 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\xq-dark.css                                    | CSS          |         29 |         22 |          3 |         54 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\xq-light.css                                   | CSS          |         20 |         22 |          2 |         44 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\yeti.css                                       | CSS          |         33 |          8 |          4 |         45 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\yonce.css                                      | CSS          |         47 |          8 |          5 |         60 |
| c:\xampp\htdocs\charity\plugins\codemirror\theme\zenburn.css                                    | CSS          |         27 |          9 |          2 |         38 |
| c:\xampp\htdocs\charity\plugins\datatables-autofill\css\autoFill.bootstrap4.css                 | CSS          |         86 |          0 |          6 |         92 |
| c:\xampp\htdocs\charity\plugins\datatables-autofill\css\autoFill.bootstrap4.min.css             | CSS          |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\charity\plugins\datatables-autofill\js\autoFill.bootstrap4.js                   | JavaScript   |         29 |          6 |          8 |         43 |
| c:\xampp\htdocs\charity\plugins\datatables-autofill\js\autoFill.bootstrap4.min.js               | JavaScript   |          1 |          4 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\datatables-autofill\js\dataTables.autoFill.js                   | JavaScript   |        717 |        285 |        211 |      1,213 |
| c:\xampp\htdocs\charity\plugins\datatables-autofill\js\dataTables.autoFill.min.js               | JavaScript   |         22 |          4 |          1 |         27 |
| c:\xampp\htdocs\charity\plugins\datatables-bs4\css\dataTables.bootstrap4.css                    | CSS          |        201 |          0 |         10 |        211 |
| c:\xampp\htdocs\charity\plugins\datatables-bs4\css\dataTables.bootstrap4.min.css                | CSS          |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\charity\plugins\datatables-bs4\js\dataTables.bootstrap4.js                      | JavaScript   |        131 |         26 |         28 |        185 |
| c:\xampp\htdocs\charity\plugins\datatables-bs4\js\dataTables.bootstrap4.min.js                  | JavaScript   |          4 |          4 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\css\buttons.bootstrap4.css                   | CSS          |        190 |          0 |          6 |        196 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\css\buttons.bootstrap4.min.css               | CSS          |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.bootstrap4.js                     | JavaScript   |         55 |          6 |          8 |         69 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.bootstrap4.min.js                 | JavaScript   |          2 |          4 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.colVis.js                         | JavaScript   |        156 |         21 |         36 |        213 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.colVis.min.js                     | JavaScript   |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.flash.js                          | JavaScript   |      1,050 |        189 |        220 |      1,459 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.flash.min.js                      | JavaScript   |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.html5.js                          | JavaScript   |      1,101 |        153 |        210 |      1,464 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.html5.min.js                      | JavaScript   |         29 |          0 |          1 |         30 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.print.js                          | JavaScript   |        135 |         32 |         44 |        211 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\buttons.print.min.js                      | JavaScript   |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\dataTables.buttons.js                     | JavaScript   |      1,438 |        366 |        354 |      2,158 |
| c:\xampp\htdocs\charity\plugins\datatables-buttons\js\dataTables.buttons.min.js                 | JavaScript   |         40 |          4 |          1 |         45 |
| c:\xampp\htdocs\charity\plugins\datatables-colreorder\css\colReorder.bootstrap4.css             | CSS          |         10 |          0 |          2 |         12 |
| c:\xampp\htdocs\charity\plugins\datatables-colreorder\css\colReorder.bootstrap4.min.css         | CSS          |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\charity\plugins\datatables-colreorder\js\colReorder.bootstrap4.js               | JavaScript   |         26 |          6 |          6 |         38 |
| c:\xampp\htdocs\charity\plugins\datatables-colreorder\js\colReorder.bootstrap4.min.js           | JavaScript   |          1 |          4 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\datatables-colreorder\js\dataTables.colReorder.js               | JavaScript   |        800 |        468 |        224 |      1,492 |
| c:\xampp\htdocs\charity\plugins\datatables-colreorder\js\dataTables.colReorder.min.js           | JavaScript   |         26 |          4 |          1 |         31 |
| c:\xampp\htdocs\charity\plugins\datatables-fixedcolumns\css\fixedColumns.bootstrap4.css         | CSS          |         59 |          0 |          6 |         65 |
| c:\xampp\htdocs\charity\plugins\datatables-fixedcolumns\css\fixedColumns.bootstrap4.min.css     | CSS          |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\charity\plugins\datatables-fixedcolumns\js\dataTables.fixedColumns.js           | JavaScript   |        945 |        511 |        233 |      1,689 |
| c:\xampp\htdocs\charity\plugins\datatables-fixedcolumns\js\dataTables.fixedColumns.min.js       | JavaScript   |         33 |          4 |          1 |         38 |
| c:\xampp\htdocs\charity\plugins\datatables-fixedcolumns\js\fixedColumns.bootstrap4.js           | JavaScript   |         26 |          6 |          6 |         38 |
| c:\xampp\htdocs\charity\plugins\datatables-fixedcolumns\js\fixedColumns.bootstrap4.min.js       | JavaScript   |          1 |          4 |          1 |          6 |
